# id	cmn	eng — from Tatoeba (CC-BY 2.0 FR)
1	我們試試看！	Let's try it.
2	我该去睡觉了。	I have to go to sleep.
3	你在干什麼啊？	What are you doing?
4	這是什麼啊？	What is this?
9	我很快就會回來。	I will be back soon.
10	我不知道。	I have no idea.
11	我不知道應該說什麼才好。	I'm at a loss for words.
12	這個永遠完不了了。	This is never going to end.
14	那是一隻有惡意的兔子。	That was an evil bunny.
15	我以前在山里。	I was in the mountains.
16	那是一张近照吗？	Is it a recent picture?
17	我不知道我有沒有時間。	I don't know if I have the time.
20	世界上的教育都讓我失望。	Education in this world disappoints me.
23	這個要三十歐元。	This will cost €30.
24	我一天賺一百歐元。	I make €100 a day.
26	那是不會發生的。	That won't happen.
27	我会尽量不打扰你复习。	I will try not to interrupt you while you are studying.
28	不要擔心。	Don't worry.
29	我很想你。	I miss you.
32	你應該去睡覺了吧。	You should sleep.
33	我要走了。	I'm going to go.
34	我請他們再寄給我一張票。	I told them to send me another ticket.
35	我不能这样活着。	I can't live that kind of life.
37	我從來沒喜歡過生物學。	I never liked biology.
38	可惜这是真的。	It is unfortunately true.
39	大部份的人覺得我瘋了。	Most people think I'm crazy.
40	不，我不是！你才是！	No I'm not; you are!
42	他在踢我！	He's kicking me!
43	你肯定吗？	Are you sure?
45	哦！有一隻蝴蝶！	Oh, there's a butterfly!
48	你是在跟我開玩笑吧？！	Are you freaking kidding me?!
49	我長大後想當國王。	When I grow up, I want to be a king.
50	我好胖哦。	I'm so fat.
53	那是因為妳是女生。	That's because you're a girl.
54	我会不高兴，但我不会自杀。	I'd be unhappy, but I wouldn't kill myself.
58	我不知道它是从哪里来的。	I didn't know where it came from.
59	這個不重要。	This is not important.
61	不要再把我当成“正常”人！	Stop seeing me as a "normal" person!
62	所有被发明的都是真的。	All that which is invented, is true.
64	宇宙毫无疑问是无限的。	There's no doubt that the universe is infinite.
68	世界就是一个疯子的囚笼。	The world is a den of crazies.
70	从来就没有徒劳的爱情。	Love is never wasted.
72	没有欲望就等于拥有。	Not wanting is the same as having.
73	聖誕節快樂！	Merry Christmas!
74	罗马不是一天建成的。	Rome wasn't built in a day.
75	你是从哪个国家来的？	Which country are you from?
7166	我已经看过这部电影了。	I have seen the film before.
119950	墨西哥有很多贫民窟。	There are many shantytowns in Mexico.
119952	这间房间朝向很好。	This room's orientation is great.
136206	你骗人！	You must be kidding!
136235	他也会说法语。	He can also speak French.
136236	我会说法语。	I can speak French.
136238	我收到了请帖。	I received an invitation.
136401	你住在哪里？	Where do you live?
136598	他住在这里吗？	Does he live here?
136604	火车站离这里不远。	The station is not far from here.
136646	正在下雹。	It's hailing.
139673	我爱你。	I love you.
180700	我喜欢旅行。	I love trips.
181028	他没有孩子。	He has no children.
330581	这是我的妈妈。	This is my mother.
330582	以后再讲。	Talk to you later.
330583	我真的不知道。	Damned if I know.
330585	十分感谢。	Thank you very much.
330586	我跟父母联络了一下。	I contacted my parents.
330587	我跟父母讲了留学的事情。	I talked with my parents about my studying abroad.
330588	我把旅费耗光了。	I have run out of my traveling expenses.
330589	我在旅行中用了地图。	I made use of the maps during my journey.
330590	我不够钱去旅行。	I am short of money for my trip.
330591	他喜欢旅行。我也是。	He likes traveling and so do I.
332135	今天是几月几号？	What is the date today?
332420	我收到了一张请帖。	I received an invitation.
332421	她半年后就要出国了。	In half a year she'll be going abroad.
332422	很少人这么认为。	Few people think so.
332423	这周我一直在工作。	I worked all this week.
332425	明天下午之前我会把它完成。	I will finish it by tomorrow afternoon.
332426	自己动手真好。	It's good to do it yourself.
332427	那个发现纯属偶然。	That discovery was quite accidental.
332429	我弟弟会经常彻夜不睡。	My brother will often sit up all night.
332430	你不得不制造一些借口。	You'll have to manufacture some kind of excuse.
332431	她可能出什么事了。	Something might have happened to her.
332432	你参加社团活动吗？	Do you take part in any community activities?
332434	我丢了我的伞。	I lost my umbrella.
332435	她是他的一切。	She is everything to him.
332436	接电话。	Answer the phone.
332437	我在报纸上看到了它。	I saw it in the newspaper.
332438	请把它充入我的账户。	Please add it to my account.
332439	雨不停，我们不会出去。	We won't go out if it doesn't stop raining.
332441	他们是热爱和平的人。	They are peace-loving people.
332442	我觉得你说的是真的。	I think what you say is true.
332443	可以原谅我吗？	Can you forgive me?
332444	我们没机会赢那些一流选手。	We have no chance against those top players.
332445	他发誓要戒烟。	He vowed to give up smoking.
332449	如果可能的话，我想环游世界。	If possible, I'd like to travel around the world.
332450	我是网球俱乐部的会员。	I belong to a tennis club.
332451	医生，请给这孩子急救。	Doctor, please give this child first aid.
332452	据说山上的天气变化很快。	It is said that the weather on the mountain changes easily.
332453	他后悔在校时没用功读书。	He regrets not having worked harder at school.
332454	我可以用支票付吗？	May I pay by check?
332460	他向权力屈服。	He succumbed to authority.
332467	啊，我认识这个男人！	Oh, I know this man!
332468	待在那儿别动。	Remain there and don't move.
332471	他正坐在会议室里。	He's sitting in the meeting room.
332472	等她回来的时候问问她。	Ask her when she comes back.
332473	他说得很大声。	He spoke very loudly.
332477	我们必须设法打破这个僵局。	We must try to break the deadlock.
332479	你咖啡喝得太多了。	You drink too much coffee.
332480	我有好几打呢。	I have several dozens of them.
332485	温度计往往低于零度。	Thermometers often go below zero.
332486	要完成实验，三个月太短了。	Three months is too short a time to finish the experiment.
332487	“这些车是你的吗？”“是的，是我的。”	"Are these your cars?" "Yes, they are."
332488	我叔叔住在学校附近。	My uncle lives near the school.
332489	去踢足球吧。	Let's play soccer.
332491	我难以用言语表达我的感情。	I find it hard to express my feelings in words.
332496	猫抓住了老鼠。	The cat caught the rats.
332499	他的医生建议他戒烟。	His doctor advised him to quit smoking.
332500	我爸爸很忙。	My father is busy.
332502	把这些座位留给老人。	Keep these seats for the elderly.
332503	我无法取代她做英语老师。	I can't take the place of her as an English teacher.
332508	谢谢你的答复。	Thanks for your reply.
332513	他寻找一切可能的逃生途径。	He looked for every possible means of escape.
332520	这药创造了奇迹。	The medicine worked marvels.
332523	我看见一个长头发的女生。	I saw a girl with long hair.
332524	外交谈判帮助结束了冲突。	Diplomatic dialogue helped put an end to the conflict.
332528	你想走的时候就走吧。	Go when you want.
332536	让我们来澄清一下这个问题。	Let's clear up this problem.
332537	别忘了在你的信上贴张邮票。	Don't forget to put a stamp on your letter.
332538	我的生意终于走上了正轨。	My business has at last gotten on the right track.
332544	老师给我们布置了家庭作业。	The teacher gave us homework.
332545	我们看着这孩子玩耍。	We were watching the child at play.
332546	你开始学习英语了吗？	Have you begun studying English?
332547	它们是瓜。	They are melons.
332548	你走了，我们都会想你的。	We shall all miss you when you go away.
332550	我没有拜访他，因为我感冒了。	I didn't call on him because I had a cold.
332551	乘公交车费时。	The bus will take time.
332552	由于火车延误，我迟到了。	I was late as a result of the train delay.
332554	这种款式的帽子现在很流行。	This style of hat is now in fashion.
332555	其他的一切都好。	Everything else is fine.
332556	你可以想象在月球上行走吗？	Can you imagine walking around on the moon?
332557	你会溜冰吗？	Can you skate?
332558	他有可能赢得比赛。	He is likely to win the game.
332559	这件事至关重要。	This is a matter of the utmost importance.
332560	不要拉我的腿！	Don't pull my leg!
332561	我无法相信自己的眼睛。	I can't believe my eyes.
332563	你考虑周到，没有打扰我们。	You were considerate not to disturb us.
332564	这件事他铭记于心。	The incident was etched in his memory.
332566	我什么都不想喝。	I don't want anything to drink.
332567	一块岩石从上面落下。	A rock fell from above.
332568	我头痛。	I have a headache.
332569	布什继里根之后当上了总统。	Bush followed Reagan as president.
332570	他的努力没有成果。	Nothing has resulted from his efforts.
332571	今天刮冷风。	The wind is cold today.
332572	你在撒谎。	You are lying.
332573	自助者天助。	God helps those who help themselves.
332575	和你的车比起来，我的车很小。	Compared with yours, my car is small.
332576	他很年轻，更重要的是，他很帅。	He is young and, what is more, handsome.
332577	和她争辩是没用的。	It is no use arguing with her.
332578	太可惜了！	What a pity!
332579	听到她成功的消息，他很高兴。	He was happy at the news of her success.
332582	请帮我找一下我的钱包。	Please find me my wallet.
332583	她给我讲了一个有趣的故事。	She told me an interesting story.
332584	他登上了前往洛杉矶的飞机。	He boarded a plane bound for Los Angeles.
332585	什么时候开始？	What time does it start?
332586	他儿子小时候就死于癌症了。	His son died from cancer at a young age.
332587	这本书有精美的插图。	This book is beautifully illustrated.
332588	她和她妹妹一样亲切。	She is no less kind than her sister is.
332590	他看上去是一个十足的绅士。	He looks every inch a gentleman.
332591	金子比水重得多。	Gold is far heavier than water.
332593	你自己拿蛋糕吃吧。	Please help yourself to the cake.
332594	他给我讲述了他的一生。	He told me the story of his life.
332595	事故耽误了我们半小时。	An accident delayed us for half an hour.
332597	我没什么可依靠的了。	I have nothing to fall back on.
332601	我们有很多听众。	We had a large audience.
